summary,value,description,keywords
Monaco,36469,"36,469.00",World Population 2022
San Marino,33660,"33,660.00",World Population 2022
Gibraltar,32649,"32,649.00",World Population 2022
Saint Martin,31791,"31,791.00",World Population 2022
British Virgin Islands,31305,"31,305.00",World Population 2022
Palau,18055,"18,055.00",World Population 2022
Cook Islands,17011,"17,011.00",World Population 2022
Anguilla,15857,"15,857.00",World Population 2022
Nauru,12668,"12,668.00",World Population 2022
Wallis and Futuna,11572,"11,572.00",World Population 2022
Tuvalu,11312,"11,312.00",World Population 2022
Saint Barthelemy,10967,"10,967.00",World Population 2022
Saint Pierre and Miquelon,5862,"5,862.00",World Population 2022
Montserrat,4390,"4,390.00",World Population 2022
Falkland Islands,3780,"3,780.00",World Population 2022
Niue,1934,"1,934.00",World Population 2022
Tokelau,1871,"1,871.00",World Population 2022
Vatican City,510,510,World Population 2022
